Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.0	0.00	  220.231070	   14.333541	  6.00	  220.231070	   14.333540	  6.00
 0.0	0.00	  233.381230	   11.745794	  6.00	  233.381230	   11.745794	  6.00
 0.1	0.01	  199.217970	   12.548232	  6.00	  199.217960	   12.548220	  6.00
 0.1	0.01	  166.060810	    5.126854	  6.00	  166.060790	    5.126830	  6.00
 0.3	0.03	  162.281530	    6.917357	  6.00	  162.281540	    6.917280	  6.00
 0.0	0.00	  166.946010	   15.058740	  6.00	  166.946010	   15.058740	  6.00
 0.0	0.00	  244.117140	   14.887378	  6.00	  244.117140	   14.887378	  6.00
 0.0	0.00	  150.271490	   14.947636	  6.00	  150.271490	   14.947636	  6.00
 0.0	0.00	  229.855350	   11.054538	  6.00	  229.855350	   11.054538	  6.00
 0.0	0.00	  216.136490	   13.799079	  6.00	  216.136490	   13.799080	  6.00
 0.0	0.00	  149.650960	   13.255276	  6.00	  149.650960	   13.255280	  6.00
 0.1	0.02	  176.551460	   10.595534	  6.00	  176.551500	   10.595530	  6.00
 0.0	0.00	  159.533320	   10.380861	  6.00	  159.533320	   10.380860	  6.00
 0.1	0.01	  209.950530	   11.326030	  6.00	  209.950500	   11.326030	  6.00
 0.1	0.01	  148.675410	    4.975427	  6.00	  148.675390	    4.975420	  6.00
 0.0	0.00	  210.218680	    6.486370	  6.00	  210.218680	    6.486370	  6.00
 0.1	0.01	  168.250900	    7.861869	  6.00	  168.250880	    7.861860	  6.00
 0.1	0.01	  144.872230	    6.229252	  6.00	  144.872210	    6.229250	  6.00
 0.1	0.01	  143.686310	    6.425529	  6.00	  143.686330	    6.425500	  6.00
 0.1	0.01	  146.977040	    9.512735	  6.00	  146.977040	    9.512720	  6.00
 0.7	0.08	  219.787680	    4.551771	  6.00	  219.787870	    4.551810	  6.00
 0.0	0.00	  134.016590	   13.422027	  6.00	  134.016590	   13.422027	  6.00
 0.0	0.00	  147.614140	   12.765495	  6.00	  147.614140	   12.765500	  6.00
 0.0	0.00	  144.035800	    6.257063	  6.00	  144.035790	    6.257060	  6.00
 0.1	0.01	  143.347520	    9.488265	  6.00	  143.347530	    9.488250	  6.00
 0.3	0.04	  226.972190	    8.437465	  6.00	  226.972130	    8.437400	  6.00
 0.0	0.00	  235.822970	    9.698852	  6.00	  235.822970	    9.698852	  6.00
 0.7	0.08	  178.275520	    6.153843	  6.00	  178.275370	    6.153970	  6.00
 0.0	0.00	  161.864320	   13.889750	  6.00	  161.864320	   13.889750	  6.00
 0.0	0.00	  120.699820	    7.431616	  6.00	  120.699820	    7.431616	  6.00
